,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
2101,1618.0577,1706.0598,4263.8164,15.413348,22.605192,61.653812
2102,1614.2994,1677.7711,4211.976,15.414499,22.65949,61.64166
2103,1604.7195,1640.7137,4083.501,15.412507,22.710997,61.474514
2104,1595.6725,1618.2147,3970.6343,15.405568,22.781096,61.4387
2105,1560.9562,1636.1488,3882.6191,15.384707,22.799461,61.319798
2106,1526.2024,1613.5778,3850.2493,15.388628,22.87561,61.17568
2107,1529.8322,1592.8477,3690.477,15.394966,22.95453,61.08825
2108,1508.5453,1550.1309,3518.82,15.386575,22.987797,60.96476
2109,1443.2695,1499.5634,3489.2864,15.377492,23.078663,60.811016
2110,1404.3136,1463.4437,3225.074,15.426415,23.043612,60.735283
2111,1374.9291,1484.8817,3162.937,15.401257,23.139956,60.581493
2112,1356.4015,1459.6182,3139.8462,15.438277,23.162098,60.46719
2113,1311.4584,1411.0665,3011.479,15.412041,23.252207,60.301434
2114,1325.5839,1401.5082,2930.5889,15.433522,23.165695,60.209633
2115,1301.7201,1366.687,2780.9688,15.419078,23.159761,60.08846
2116,1277.7281,1355.3976,2639.293,15.414187,23.169865,59.930046
2117,1241.5248,1319.5165,2587.0864,15.402425,23.198196,59.69651
2118,1227.9724,1292.8612,2338.7866,15.36264,23.2381,59.568165
2119,1203.2382,1277.2919,2348.1016,15.3213,23.222631,59.414646
2120,1134.5679,1251.2355,2224.627,15.33025,23.245783,59.16725
2121,1122.4093,1222.4208,2095.4514,15.280731,23.301008,58.992786
2122,1103.2244,1178.6085,2022.9711,15.232119,23.29657,58.818214
2123,1087.9897,1173.242,1919.6465,15.172826,23.285345,58.54502
2124,1064.5428,1132.0352,1816.8848,15.115969,23.289082,58.34907
2125,1047.1908,1116.9911,1744.32,15.086976,23.333662,58.080853
2126,999.0828,1108.7429,1625.5884,14.998024,23.380133,57.760906
2127,982.74805,1101.897,1571.9408,14.926461,23.284115,57.51069
2128,982.4647,1068.2457,1532.4667,14.860925,23.372885,57.20368
2129,958.0073,1050.8844,1442.6278,14.779099,23.423304,57.076157
2130,951.6685,1027.4105,1367.2417,14.689784,23.423555,56.73244
2131,933.95795,995.0828,1307.7098,14.594104,23.46332,56.56542
2132,882.8882,1003.9207,1271.8579,14.50697,23.48046,56.33981
2133,840.5595,963.0854,1251.1406,14.395394,23.61134,56.048832
2134,817.5903,995.04956,1111.0874,14.263061,23.716988,56.049896
2135,825.32117,1013.67035,1105.9117,14.112114,23.693964,55.839664
2136,851.44415,1017.1115,1162.4695,14.109495,23.773397,55.452084
2137,809.7794,1017.91144,1044.6991,13.985669,23.946592,55.73745
2138,785.8823,1009.44293,967.2344,13.897958,24.214552,55.666523
2139,739.84595,1008.67285,911.5416,13.809301,24.61741,55.68581
2140,728.90576,1015.6263,897.9231,13.774089,24.832659,55.6618
2141,729.371,1044.241,845.76776,13.7375,25.03391,55.652287
2142,705.054,1036.8942,835.34827,13.7376175,25.251001,55.729492
2143,674.62695,1053.9247,756.8714,13.673158,25.58256,55.680386
2144,660.2921,1040.3466,710.5468,13.588276,25.827316,55.724396
2145,656.7959,1066.9232,696.9095,13.502539,25.952139,55.732044
2146,635.46765,1085.9199,691.9794,13.401853,26.15886,55.742657
2147,624.1575,1105.731,639.11316,13.345489,26.384356,55.889088
2148,608.85974,1093.6951,599.8095,13.185317,26.503092,55.900265
2149,600.10767,1095.7965,573.8818,13.111815,26.681387,56.008976
2150,581.7319,1115.3446,555.2726,12.921982,26.849676,56.035072
2151,584.76624,1121.1702,524.33276,12.799223,26.897097,56.08209
2152,580.2086,1141.2904,505.26184,12.653276,27.051996,56.113422
