,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
95,2329.1426,961.1728,5911.169,14.4618435,27.873156,66.429565
96,2364.094,945.46173,5964.2197,14.521406,27.899694,66.362274
97,2388.8386,959.31903,6067.6387,14.532744,27.849209,66.43668
98,2382.4827,965.42377,6124.015,14.50389,27.858809,66.42999
99,2422.0076,961.10657,6379.968,14.482617,27.805292,66.35645
100,2423.5908,976.27826,6021.409,14.497579,27.828455,66.52507
101,2426.6423,950.1322,6210.6436,14.511791,27.820715,66.51976
102,2407.0605,944.4759,6489.1523,14.523163,27.882147,66.48161
103,2460.9058,954.9292,6253.709,14.517672,27.771349,66.513336
104,2476.5674,974.05035,6313.6523,14.53414,27.771444,66.49896
105,2555.446,976.1651,6546.95,14.513408,27.791082,66.48729
106,2531.1968,967.1376,6602.7607,14.491056,27.78557,66.61633
107,2544.3796,959.13116,6580.757,14.501194,27.813087,66.63158
108,2500.1052,958.5982,6360.564,14.511344,27.798319,66.64171
109,2505.8145,988.3984,6566.245,14.48274,27.877527,66.65608
110,2518.9578,911.22845,6518.635,14.522184,27.676525,66.45747
111,2437.3777,956.5195,6516.177,14.518282,27.782059,66.65584
112,2522.0894,962.15204,6357.5264,14.544438,27.728083,66.52009
113,2518.1907,951.6663,6402.8184,14.533753,27.77102,66.575836
114,2473.649,950.14813,6210.7163,14.530052,27.7407,66.63461
115,2501.0764,943.74927,6307.034,14.504068,27.75817,66.533745
116,2499.1206,939.53815,6072.1743,14.495158,27.760838,66.62169
117,2423.3223,942.633,6474.4873,14.55126,27.74874,66.68264
118,2444.1064,943.1198,6333.6587,14.52306,27.743431,66.62268
119,2451.4575,946.6766,6235.425,14.54899,27.726969,66.63406
120,2502.4863,938.4996,6268.831,14.530233,27.76008,66.550285
121,2431.0718,941.9008,6290.955,14.493742,27.741634,66.61278
122,2423.124,941.88416,6352.4185,14.530746,27.753275,66.65892
123,2477.5503,939.3635,6425.4326,14.531125,27.768572,66.66348
124,2421.1433,940.6043,6363.282,14.5131445,27.74467,66.61272
125,2460.726,942.31757,6411.4414,14.506126,27.785677,66.671555
126,2456.5269,950.57635,6425.061,14.554866,27.690279,66.688675
127,2483.4465,958.2651,6485.5557,14.553587,27.700045,66.64345
128,2527.4587,955.9677,6630.5615,14.551499,27.731413,66.58202
129,2529.7493,963.47894,6568.463,14.525378,27.73327,66.679955
130,2568.6675,971.70337,6485.5635,14.543867,27.71244,66.699196
131,2561.419,976.66174,6711.201,14.540465,27.719519,66.65471
132,2594.209,985.20215,6869.6807,14.583487,27.67625,66.5549
133,2551.1226,985.63727,6822.9146,14.53245,27.716148,66.576004
134,2569.5605,971.30347,6660.6777,14.569337,27.66461,66.60648
135,2522.5737,1008.7652,6746.481,14.605663,27.607887,66.52136
136,2520.5056,983.5775,6557.846,14.56775,27.71219,66.41973
