,TIB_LAT_CFN,TIB_MED_CFN,PAT_CFN,TIB_LAT_CoF,TIB_MED_CoF,PAT_CoF
95,2092.238,804.37915,6437.134,14.617887,27.150232,66.485245
96,2092.1804,793.4677,6236.9453,14.686697,27.10591,66.41484
97,2114.7102,797.2566,6396.435,14.72095,27.068306,66.454544
98,2075.671,799.4231,6431.755,14.725106,27.10556,66.47295
99,2149.8142,807.38275,6479.1187,14.686891,27.139275,66.51433
100,2135.6187,813.7228,6512.1313,14.69041,27.070099,66.54573
101,2202.827,812.63464,6187.328,14.716527,27.062666,66.470825
102,2221.8713,813.80774,6731.1025,14.723218,27.074642,66.49802
103,2215.632,807.70483,6478.3916,14.707859,27.079906,66.521484
104,2237.1082,816.9734,6433.2534,14.696202,27.06845,66.526505
105,2187.488,853.7959,6807.6587,14.66625,27.284214,66.68256
106,2219.4312,823.11475,6703.504,14.712642,27.040874,66.610214
107,2219.622,811.2224,6715.368,14.757499,27.045918,66.59598
108,2206.5269,804.6396,6562.5234,14.729857,27.04251,66.57601
109,2217.2327,822.1869,6839.9854,14.73039,27.035818,66.660095
110,2210.7698,827.44836,6617.587,14.701433,27.02907,66.60127
111,2201.9773,815.621,6603.1133,14.698184,27.033703,66.574875
112,2231.0327,818.3978,6794.2656,14.722333,27.032146,66.66695
113,2304.4312,819.5874,6756.3857,14.711719,27.020134,66.67267
114,2182.1768,808.7988,6580.5186,14.691365,27.049326,66.57813
115,2170.3801,798.73334,6503.6777,14.694428,27.076578,66.61134
116,2174.4636,802.32825,6580.8555,14.705651,27.051273,66.663574
117,2172.802,804.36694,6526.703,14.727556,27.083946,66.73509
118,2189.8467,795.02954,6447.503,14.701272,27.08357,66.61005
119,2170.4875,807.49927,6508.115,14.698655,27.060953,66.64314
120,2153.5474,809.953,6651.1465,14.665833,27.065506,66.65044
121,2220.0676,804.54443,6491.6914,14.719998,27.03443,66.64983
122,2180.34,803.54297,6523.4863,14.725568,27.072678,66.6843
123,2178.318,806.96344,6590.2637,14.716008,27.046247,66.67198
124,2178.283,805.58203,6737.9067,14.729592,27.049734,66.741745
125,2187.2493,806.851,6761.994,14.7066,27.05323,66.70668
126,2208.4292,816.5389,6680.065,14.716951,27.045868,66.68967
127,2221.9788,813.5009,6743.167,14.713334,27.000881,66.76207
128,2232.0647,814.7887,7000.711,14.72771,27.005726,66.77351
